URL,C,Server Software,Server Hostname,Server Port,Document Path,Document Length[bytes],Concurrency Level,Time taken for tests[s],Complete requests,Failed requests,Write errors,Total transferred[bytes],HTML transferred[bytes],Requests per second[#/sec](mean),Time per request[ms](mean - across all concurrent requests),Transfer rate[bytes/s],Connect-min[ms],Connect-mean[ms],Connect-[+/-sd],Connect-median[ms],Connect-max[ms],Processing-min[ms],Processing-mean[ms],Processing-[+/-sd],Processing-median[ms],Processing-max[ms],Waiting-min[ms],Waiting-mean[ms],Waiting-[+/-sd],Waiting-median[ms],Waiting-max[ms],Total-min[ms],Total-mean[ms],Total-[+/-sd],Total-median[ms],Total-max[ms]
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.020,12261,753,,4047370,24020,204.28,4.895,65.85,0,1599,1076.3,1001,3010,89,29381,15149.1,29394,58689,0,29111,15547.6,29394,58685,819,30980,15927.3,29711,59690
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.001,8775,0,,2957175,17550,146.25,6.838,48.13,29,1151,730.6,1000,3006,21261,39204,10386.5,39125,56740,21260,39204,10386.5,39122,56740,22026,40355,10837.8,40126,59745
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.002,8139,130,,2720938,16148,135.64,7.372,44.28,26,2136,1643.1,3003,7031,3326,39424,9900.6,40128,54613,0,39397,10001.4,40128,54613,10343,41560,10953.2,42099,59831
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.003,7692,0,,2592204,15384,128.19,7.801,42.19,114,1229,808.9,1001,3012,25377,40874,9247.5,40308,56804,25377,40874,9247.4,40308,56804,26250,42103,9802.5,41309,59810
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.001,7738,0,,2607706,15476,128.96,7.754,42.44,50,1002,603.7,1001,3012,24043,42265,9675.0,42887,56884,24043,42264,9675.1,42887,56884,24804,43267,10009.2,43888,59889
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.001,8226,1046,,2595911,15406,137.10,7.294,42.25,45,1206,899.5,1001,3044,13083,39133,11758.5,39913,56638,0,38297,13854.9,39913,56638,13129,40339,12358.3,40914,59641
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.003,7994,0,,2693978,15988,133.23,7.506,43.85,25,1389,908.1,1001,3085,24478,40525,9257.6,40629,56364,24478,40524,9257.6,40629,56364,25231,41914,9922.5,41629,59373
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.000,8305,0,,2798785,16610,138.42,7.225,45.55,63,1298,904.7,1001,3012,22880,40457,9932.0,40393,56829,22880,40456,9932.0,40393,56827,23629,41755,10576.4,41394,59833
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.000,9044,0,,3047828,18088,150.73,6.634,49.61,21,1710,1052.7,1004,3018,23147,40132,9412.1,40696,58462,23147,40132,9412.0,40696,58462,23875,41843,10263.6,41698,59978
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.003,8804,138,,2943695,17470,146.73,6.815,47.91,35,1710,1049.6,1003,3011,12829,38303,10082.4,38880,56931,0,38201,10395.2,38879,56931,12864,40013,10960.9,39880,59938
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.004,9215,584,,3007051,17846,153.57,6.512,48.94,29,1492,977.1,1006,3013,13338,38163,10966.2,38888,58332,0,37740,12112.6,38888,58332,13409,39656,11753.8,39889,59584
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.000,8382,0,,2824734,16764,139.70,7.158,45.98,45,1600,1070.5,1001,3015,23330,39884,9712.2,41115,56370,23330,39884,9712.3,41111,56370,24120,41484,10601.1,42111,59373
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.000,8147,1596,,2541991,15086,135.78,7.365,41.37,38,998,589.6,1001,3016,13077,39934,10949.0,40904,57851,0,38338,14403.9,40904,57846,13530,40932,11264.9,41903,59759
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.008,8205,56,,2755649,16354,136.73,7.314,44.84,51,1053,638.8,1001,3010,13074,41311,9867.2,41417,56785,0,41266,10023.1,41416,56785,13300,42364,10209.0,42418,59789
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.015,8220,610,,2667355,15830,136.97,7.301,43.40,40,1320,920.8,1000,7015,3265,39604,10991.0,39737,56676,0,39152,12272.3,39737,56675,10280,40925,11550.4,40735,59684
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.001,8536,598,,2775869,16474,142.26,7.029,45.18,60,1330,955.2,1001,3013,13083,39096,10747.4,39610,56638,0,38637,12047.6,39610,56638,13152,40427,11480.6,40618,59643
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.000,6682,0,,2251834,13364,111.37,8.979,36.65,19,1130,716.0,1001,3016,26628,41662,9450.7,41269,56689,26628,41661,9450.7,41269,56689,27271,42792,9845.8,42273,59695
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.001,9375,1296,,2940999,17454,156.25,6.400,47.87,43,1215,764.4,1000,3007,6582,37453,13002.0,38696,57615,0,36993,14148.8,38695,57614,6747,38668,13455.1,39696,59837
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.004,8814,0,,2970318,17628,146.89,6.808,48.34,11,2267,1651.9,3005,7023,19848,37116,10309.2,36988,55840,19848,37115,10309.1,36988,55840,20515,39383,11609.6,39279,59826
45.55.146.81:3000,20000, ,45.55.146.81,3000,/components/5b026e6a-e155-496b-b29c-33b6499ffcc7/data,2,20000,60.003,9486,338,,3139829,18634,158.09,6.325,51.10,48,1370,916.6,1003,3014,13591,37760,10934.2,37995,56793,0,37517,11597.4,37994,56793,13724,39129,11618.6,38999,59800
