Percentage served,Time in ms
0,2.684
1,5.317
2,11.611
3,17.655
4,22.162
5,24.780
6,26.311
7,27.421
8,28.276
9,28.948
10,29.498
11,29.994
12,30.460
13,30.886
14,31.294
15,31.656
16,32.011
17,32.351
18,32.646
19,32.939
20,33.260
21,33.567
22,33.868
23,34.135
24,34.429
25,34.716
26,34.976
27,35.234
28,35.487
29,35.718
30,35.952
31,36.181
32,36.427
33,36.658
34,36.874
35,37.090
36,37.313
37,37.525
38,37.755
39,37.978
40,38.204
41,38.423
42,38.630
43,38.861
44,39.081
45,39.302
46,39.520
47,39.725
48,39.913
49,40.134
50,40.351
51,40.552
52,40.781
53,41.014
54,41.235
55,41.463
56,41.697
57,41.922
58,42.138
59,42.361
60,42.576
61,42.826
62,43.065
63,43.308
64,43.541
65,43.786
66,44.045
67,44.300
68,44.584
69,44.877
70,45.152
71,45.446
72,45.750
73,46.062
74,46.353
75,46.664
76,47.006
77,47.378
78,47.759
79,48.168
80,48.595
81,49.120
82,49.670
83,50.250
84,50.920
85,51.678
86,52.503
87,53.485
88,54.671
89,56.168
90,58.085
91,60.637
92,64.102
93,69.154
94,75.544
95,81.530
96,87.806
97,96.822
98,116.075
99,1022.625
